This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
However , these procedures might become another challenges for the innovators .|||7~8~Nn~challenge
Because Engineering designs are always related to real problem , during the five processes , the obstacles they face are more than theories and calculations on paper .|||8~9~Nn~problems
But such explanation was of non-sense as the engineers did not see such possibility during their designing ; otherwise the design would not be carried out at all .|||2~2~ArtOrDet~an	4~5~Prep~	13~13~ArtOrDet~a
Some evidences showed that the reason of halt of work was that the higher level of authorities thought an underground traffic system was not necessary for Harbin .|||6~7~Prep~for	7~7~ArtOrDet~the	9~9~ArtOrDet~the	15~16~ArtOrDet~
Another problem , financial issue , is quite common during design process .|||10~10~ArtOrDet~the
It affects the analyzing and test step most seriously though it can affect almost every step of design work .|||5~5~ArtOrDet~the
For most design work , the engineers are always employed by some organizations or companies .|||5~6~ArtOrDet~
Humankind always has needs and demands because people want to lead more comfortable and easier life .|||11~11~ArtOrDet~a
Government should also more encouraging the research and development of these products .|||0~1~Nn~Governments
Hence designs that need large amount of gold may not be feasible .|||4~4~ArtOrDet~a
However , if the engineers were to stick to their original design , the cost of the end product will be high .|||5~6~Vt~are
Another example would be the cases of Apple 's iPhone .|||5~6~Nn~case
There are many reports around the internet and on newspaper stating that some users ' iPhone exploded and the main cause is due to the overheating of the lithium- ion battery .|||15~16~Nn~iPhones
Hazardous product can tarnish the reputation of the company and sometimes even result in the loss of innocent lives .|||1~2~Nn~products
Thus it is very important for engineers to do repeated trial test of the product to ensure that it is free of faults .|||11~12~Nn~tests
Engineering design process can be defined as a process fused by fellow engineers in the aid of developing either an entirely new system or improvising on the current on to cater to desired deeds .|||0~1~ArtOrDet~The engineering
As we understand the relevance and importance of engineering design , we will come to realize that in reality there are several factors that preventing the progress of engineering design .|||24~25~Vform~prevent
Firstly , engineering design process has come to incur excessive costs .|||4~5~Nn~processes
In Singapore , there is only a certain fixed amount in the country 's national budget allocated of the research and development sector .|||17~18~Prep~to
Moreover , the government has also other financial plans in spending their resources .|||9~11~Vform~to spend
Hence , the area of innovative research and development in engineering is not driven in full swing .|||14~15~Prep~to
In countries like China and India , their population amount to billions whereas the population of Singapore is only 4.5 million .|||7~8~ArtOrDet~the	10~11~Prep~in	11~11~ArtOrDet~the
For example , five percent of the population in Singapore is 1000 times lesser than five percent of the population in the China .|||21~22~ArtOrDet~
In areas of mechanical engineering , our latest machineries are either bought or are replicas from the models in Japan .|||15~16~Prep~of	16~17~ArtOrDet~
The impact on having a limited amount of creative people has resulted in Singapore having to resort to buying foreign-based engineering design equipment from overseas .|||2~3~Prep~of
Serendipity is usually defined as a discovery under an accidental case , and it often results the invention of a new technology .|||16~16~Prep~in
The invention of refrigerator was around 1910s as before that , people had faced the problem of food storage in summer when there was no icehouse could be used .|||3~3~ArtOrDet~the	5~6~Prep~in	6~6~ArtOrDet~the	12~14~Vform~were facing
Research and development had been done to solve this problem and eventually boosted the invention of refrigerator .|||3~5~Vt~was	16~16~ArtOrDet~the
This is how most conventional technologies been invented .|||6~6~Vform~have
Post-it note was invented in this way according to Rogers .|||0~0~ArtOrDet~The
3M , famous Scotch tape company , discovered an unsuccessful bonding agent that could not stick paper tightly hundreds years ago .|||2~2~ArtOrDet~the
However , the 3M researchers found out this failed bonding agent was suitable for attaching notes which satisfy many people 's needs .|||17~18~Vt~satisfied
Thus post-it note was invented from this idea .|||1~1~ArtOrDet~the
In this manner , many other serendipitous technologies have been discovered and solved many irrelevant problems .|||12~12~Vform~have
Under this process , the attractiveness and practicality of the inventions will be improved such that they could be converted into useful products which accepted by most people .|||0~1~Prep~In	11~13~Vt~are	17~18~Vt~can	24~24~Vform~are
If the refrigerator was remained as it was invented in 1910s and no further development has been made to improve its quality , the refrigerator would just be an unsuccessful invention due to its low efficiency and high cost .|||3~4~Vform~had	10~10~ArtOrDet~the	15~16~Vt~had
After converting the new technology into useful products , it comes to the process of marketing .|||2~3~ArtOrDet~a	11~12~Prep~
How other people get to know your products and been convinced to use them .|||6~6~Prep~about	9~10~Vform~are
Like what 3M researcher did , they sent their post-it products to Fortune 500 Company 's president and secretary to publicize their products .|||14~16~Nn~companies '	16~17~Nn~presidents	18~19~Nn~secretaries
Finally 3M achieved a huge success as its products were world-famous through Fortune 500 Company .|||12~12~ArtOrDet~the	14~15~Nn~companies
From these two examples above , it is clear that another similarity between conventional technology and serendipitous technology is the process of development and commercialization which involved a lot of hard work .|||26~27~Vt~involve
Research is usually based on certain organizations and it requires some time , funds and resources before the researchers can finally obtain the expected results .|||4~5~Prep~in
For the invention of refrigerator , many companies like : General Electric , Kelvinator and Postum , did organized the research group to invent and develop refrigerator .|||0~1~Prep~In	4~4~ArtOrDet~the	19~20~ArtOrDet~	21~22~Nn~groups	26~26~ArtOrDet~the
Many new ideas may just generate from daily life , some mistakes made accidentally or during research for other technology .|||5~6~Vform~be generated
For the post-it pads , its idea was just generated from the failed product when 3M researches tried to invent new bonding agent .|||11~12~ArtOrDet~a	20~20~ArtOrDet~a
Yet for conventional technology , it is limited to people with professional knowledge , like : researchers or scientists .|||1~2~Prep~
In conclusion , although serendipitous technology seems easier than research-based technology for research process , it still requires a lot of hard work to further develop it and one should acquire the essential knowledge before he know how the unexpected discoveries can been used to solve the problems we faced .|||11~12~Prep~in	12~12~ArtOrDet~the
Compared to technical reasons , social reasons are the main obstacles for inventions , and finance and education stand out from all these reasons .|||11~12~Prep~to
First of all , the biggest problem is the whole country lacking money .|||11~12~Vform~lacks
Chinese engineers are not short of fantastic innovating ideas but market .|||2~6~Vform~do not lack
The electrical and the gas cars have been applied for some time .|||3~4~ArtOrDet~
This comparison does not mean that Chinese people are ignoring the environment but most of us can not afford an electrical or a gas car which is far more expensive than a common one using gasoline as fuel .|||6~6~ArtOrDet~the
The Chinese education has a history of over 2000 years .|||0~1~ArtOrDet~
Through the thousands of years , most Chinese scholars are greatly affected by the Confucianism .|||9~10~Vt~have been	13~14~ArtOrDet~
One of the core theories is to teach people to obey the rules and regulations .|||11~12~ArtOrDet~
Henceforth , inventors with company leaders begin to adopt a secretive approach towards inventions and they go " underground " for research and development .|||6~7~Vt~have begun
Understanding the differences and similarities between such a path that inventors take and conventionally generated technologies will help us to better appreciate their efforts & the hardships they had to go through in their endeavours .|||28~29~Vt~have
During the pioneer year of the National University of Singapore 's Formula Society of Automotive Engineering ( NUS FSAE ) , outstanding undergraduates who show exceptional talents and skills among their peers were being selected to work on a new project of building an eco-friendly race car to compete on the international platform .|||33~34~Vt~
Another similarity between skunkworks and conventionally generated technologies will be that both are given adequate funds and resources by the authority to maintain their operations .|||8~10~Vt~is
Being a highly classified project , the Lockheed 's Advanced Development Projects Division , a American aerospace company was funded by the government to develop the latest aircraft to fight in World War two ( Roger , 2003 ) .|||14~15~ArtOrDet~an
However , in order to escape routine organizational procedures , inventors and researches working in skunkwork environment are more often abused in contrast to the people working under conventional system .|||15~15~ArtOrDet~a	27~28~Prep~within	28~28~ArtOrDet~a
On the other hand , under the conventional system , innovators are supposed to abide to strict workplace safety , guidelines and routine organizational procedures .|||5~6~Prep~within	15~16~Prep~by
They work under conducive environment to accomplish their tasks .|||2~3~Prep~in	3~3~ArtOrDet~a
However , they receive different forms of treatments and work under different environments .|||10~11~Prep~in
From past to present , many important innovations have surfaced .|||1~1~ArtOrDet~the	3~3~ArtOrDet~the
Some of these innovations were shaped by technology while others were created from the needs and desires of society .|||4~5~Vt~have been	10~11~Vt~have been
According to ( AVIATION , 2009 ) " Centuries of dreaming preceded the first successful flight " which suggests that the basis of this innovation was from man 's dream to fly like birds they see in the sky .|||26~27~Prep~	33~33~ArtOrDet~the
Firstly , military aspects were crucial in shaping the aircraft .|||2~2~ArtOrDet~the
Planes of present versus those in the past show a noticeable improvement in agility and speed .|||2~2~ArtOrDet~the	5~6~Prep~of
Most importantly , we see that these needs of the military were a driving force behind the development and enhancement of the aircraft .|||6~7~ArtOrDet~the
Secondly , social factors guided the growth of planes .|||4~4~Vt~have
The globalised style of living which translates to the need to transport increasingly large numbers of passengers , and the need for fast delivery of goods or letters were some of the social issues that shaped the airplanes .|||6~7~Vt~has translated	28~29~Vt~have been	35~35~Vt~have	37~38~Nn~airplane
It is noticeable that the size of commercial planes increased over the years in the response to meet the rise in global travelers .|||9~9~Vt~has	14~15~ArtOrDet~
If we look at Airbus ' A380 in our world today , it carries up to " 525 " passengers ( A380 Family , 2009 ) .|||4~4~ArtOrDet~The
Likewise , in today 's world , global air freight agencies such as " DHL " or " Fedex " require planes able to travel long distances fast in order to ensure that mails or packages are delivered to end users in the shortest time possible .|||33~37~Nn~mail is
When there is a need for something , a technology is create to solve the problem .|||11~12~Vform~created
The same applies for an eco-friendly car .|||4~5~ArtOrDet~the
In 2006 , a documentary film , An Inconvenient Truth , written by former United States Vice President Al Gore , has sparked a series of heated discussions after it was being screened in cinemas .|||21~22~Vt~	31~32~Vt~
This implies that automobile companies had to pull in large sums of money for research and development work to create and promote the sales of such cars .|||1~2~Vt~implied
Without pressure from the government , no automobile company would have taken the initiative to manufacture and market out these vehicles .|||19~20~ArtOrDet~those
Compared to the fuel powered car , the eco-friendly car is at a losing end due to its speed , its mileage and time taken for battery charging .|||12~13~ArtOrDet~the
One of the main purposes of the creation of eco friendly cars is due to environmental factors .|||5~6~Prep~for	13~15~ArtOrDet~the	16~17~Nn~factor
Since the past decade , people are getting more conscious of the damages that we have been inflicting to the Earth .|||6~7~Vt~have been	12~13~Nn~damage	18~19~Prep~on
As carbon dioxide " stocks up " in the atmosphere over years , it traps the Sun 's heat , thus creating global warming which eventually leads to various climate changes .|||11~11~ArtOrDet~the
As awareness of the effects of climate changes grows , people realize that it is their social responsibility to try to undo the environment damages to the best their ability .|||28~28~Prep~of
Hence more people are seeking for greener alternatives .|||5~6~Prep~
In this rapid economic development of the 21st century , the demand for energy is increasing .|||1~2~ArtOrDet~the
There many alternative source of energy can be used and applied in our life , such as solar energy , light energy , wind energy , water power and so on .|||3~4~Nn~sources
Currently , people realise the features of environmental protection and the economical efficiency of the solar energy ; the use of solar energy is made use of more and more widespread in the ordinary life .|||3~4~Vt~realised	14~15~ArtOrDet~	23~24~Vt~has been	32~33~ArtOrDet~
In return a lower tariff will be received , but also means that no need to have to maintain the heaters .|||10~10~ArtOrDet~this
However , solar energy is not in the evening , so that energy storage is an important issue to provide a continuous supply of energy .|||19~20~Vform~providing
The rate of energy consumption by human is much higher than what nature is able to produce .|||6~7~Nn~humans
Therefore , the last decade has witnessed the increasing energy price due to insufficient supply of energy .|||7~8~ArtOrDet~	10~11~Nn~prices	13~13~ArtOrDet~an
In response to energy shortage , engineers design more efficient products and systems .|||7~8~Vt~are designing
Among the solutions such as establishing energy-intense industry and recycling natural resources , finding alterative resources seems to be the best solution to provide sustainable supply of energy for varies industries .|||23~24~Vform~providing	24~24~ArtOrDet~a
Natural movements such as tide , wind and wave can all be used for generating power .|||4~4~ArtOrDet~the	6~6~ArtOrDet~the	8~9~ArtOrDet~the waves
The solar technology , which converts the radiant light from the Sun into heat , can also be applied to many industries .|||0~1~ArtOrDet~	6~7~ArtOrDet~
International energy agency reports that 2.1 % of energy and 15 % of electricity are provided worldwide by nuclear power in the year 2005 ( Key World Energy Statistics , 2007 ) .|||0~0~ArtOrDet~The	14~15~Vt~were
It shows that nuclear power may gradually replace traditional oil and petroleum .|||0~1~ArtOrDet~This
Third , natural energy resources such as wind energy and wave power can only be used in large countries with sufficient land and water ; thus , small countries may encounter energy dependence on outer resource and forced to pay much more for energy supply .|||35~36~Nn~resources	37~37~Vform~be
Zero carbon technology is encouraged in response to the concern of climate change .|||9~10~Nn~concerns
To conclude , engineering design process can be applied to help solve the current problem of global energy shortage .|||5~6~Nn~processes
If engineers are capable of introducing environmental friendly energies with reasonable cost and sufficient quality , we can expect a future balance between energy consumption and energy supply .|||9~10~Prep~at
Technologies are always developed to cater certain needs of people , whether to provide better methods of doing things or to develop tools that facilitate working and living .|||6~6~Prep~to
This also applies to virtual technology , which was developed under a specific social and technological background and was evolved to meet increasing needs under a changing environment .|||10~11~Prep~within	24~25~Prep~in
Virtual technology was first developed to address needs of extensive communications .|||7~8~ArtOrDet~the need	8~9~Prep~for
Such excitements brought by modern technologies had boomed the demand for more extensive interactions , not only with friends but also with strangers .|||0~1~ArtOrDet~The	1~2~Nn~excitement	6~7~Vt~
At the same time , new technologies had also brought privacy into people 's consideration .|||7~8~Vt~
Thus , it was not surprised to observe an increasing need for a convenient and cost effective platform where a large group of people are able to communicate , transcending geographic barriers , while retaining a certain level of independence and privacy at the same time .|||5~6~Vform~surprising
Virtual technology has been designed with a series of unique properties to address the observed social needs by engaging a large user population .|||2~4~Vt~was
This has made interactions among a great number of users become possible .|||1~2~Vt~
The user-friendly operation platform designed has made virtual world more accepted by the public and the simplified operation process has also made virtual technology more adaptable to lay men .|||5~6~Vt~	7~7~ArtOrDet~the	19~20~Vt~
In addition , with the establishment of facilities and the popularization of computers , virtual technology has become more and more accessible and has engaged increasing number of people .|||16~18~Vt~became	23~24~Vt~	26~27~Nn~numbers
The low cost of virtual technology , as compared with that of other types of communications such as telephone , has also attracted numerous users .|||18~18~ArtOrDet~the	20~21~Vt~
As social environment changed , the initial virtual technology developed had become insufficient to meet increased social needs .|||1~1~ArtOrDet~the	3~4~Vt~changes	10~11~Vt~has
Virtual technology was hence refined to meet the evolving needs .|||2~4~Vt~has hence been
Factors such as the business environment , changing educational styles and new military demands have shaped the development of virtual technology and solutions made used of virtual technology were designed to address each specific need .|||23~24~Vform~making	24~25~Vform~use	28~29~Vt~have been designed
New technologies had made people realize the underlying economic opportunities beyond geographic barriers and national boundaries .|||2~3~Vt~have
People were looking for more convenient and cost effective methods for transactions and business cooperation .|||1~2~Vt~have been
One of them was E-commerce where a virtual interface was created for convenient and efficient transactions of goods and services .|||3~4~Vt~is	6~7~ArtOrDet~	8~9~Nn~interfaces
Another example would be E-conferencing which allows a staff to attend live conferences during business trips and has made business process much more efficient .|||2~4~Vform~is	20~21~Nn~processes
This is especially applied to places where educational resources are limited due to geographic barriers .|||1~4~Vform~especially applies
E-learning has provided an alternative way to attending lessons conducted by teachers in classrooms .|||7~8~Vform~attend
Another example of virtual technology being developed to meet educational needs would be business simulation games where the real business environment is simulated and students can learn from imitated real-life practice .|||11~13~Vform~is
Apart from the demands from business and education , other factors have also shaped the development of virtual technology and solutions have been designed to meet the needs .|||26~27~ArtOrDet~these
An example could be the virtual training used by the U.S. army where military demands have shaped the development of virtual technology .|||2~4~Vform~is	4~5~ArtOrDet~
To sum up , virtual technology , like other types of technologies , was determined socially and was evolved to meet changing needs of the society .|||17~18~Vform~	18~18~Vt~has	21~21~ArtOrDet~the
The development of virtual technology is shaped by social factors such as the business environment , educational needs and military demands .|||5~6~Vt~has been
However , problems inevitably generate and affect the process of innovation due to the improper strategies or methods .|||13~14~ArtOrDet~
One is that some engineering designs do not meet the needs of market .|||12~12~ArtOrDet~the
In other words , these designs are produced without adequate market survey , so they turn out to be unwelcomed among public .|||20~21~Prep~by	21~21~ArtOrDet~the
Though the designs are products of fantastic conception , they become useless as rubbish once out of market .|||17~17~ArtOrDet~the
After the policy of reform and opening-up , Chinese government has long been encouraging people to make varieties of innovations .|||8~8~ArtOrDet~the
Nevertheless , it does not mean that whatever designs can be made .|||8~9~Nn~design
The key is still the needs of market .|||7~7~ArtOrDet~the
Individual has an obvious disadvantage compared with teamwork , and that is to say individual can not handle everything well at the same time .|||0~1~ArtOrDet~An individual	14~14~ArtOrDet~an
The second problem to hamper engineering design process that I can concern is the patent policy .|||7~8~Nn~processes
China has long been a great country of patents , but the success of patents is quite rare .|||14~14~ArtOrDet~these
Most Chinese patents are " Appearance Patent " , not " Innovation Patent " .|||6~7~Nn~Patents	12~13~Nn~Patents
Appearance patent is a rather tough issue and among patent infringement in China , more than 90 % belong to this kind .|||1~2~Nn~patents	9~9~ArtOrDet~the
What I have to point out is , appearance patent application does not need to be censored .|||10~11~Nn~applications
The rapid application for patents causes large numbers of patent infringement cases .|||2~3~Nn~applications	5~6~Vt~have caused
